class,threshold,tpr,fpr
3,0.2900,0.267857,0.101420
3,0.2800,0.267857,0.119675
3,0.2700,0.312500,0.136917
3,0.2600,0.339286,0.155172
3,0.2500,0.357143,0.175456
3,0.2400,0.392857,0.201826
3,0.2300,0.410714,0.224138
3,0.2200,0.446429,0.250507
3,0.2100,0.491071,0.274848
3,0.2000,0.500000,0.312373
3,0.1900,0.526786,0.342799
3,0.1800,0.562500,0.373225
3,0.1700,0.607143,0.401623
3,0.1600,0.625000,0.433063
3,0.1500,0.669643,0.462475
3,0.1400,0.687500,0.485801
3,0.1300,0.732143,0.517241
3,0.1200,0.741071,0.548682
3,0.1100,0.758929,0.581136
3,0.1000,0.776786,0.607505
3,0.0900,0.794643,0.638945
3,0.0800,0.821429,0.665314
3,0.0700,0.848214,0.700811
3,0.0600,0.857143,0.733266
3,0.0500,0.866071,0.774848
3,0.0400,0.901786,0.815416
3,0.0300,0.919643,0.854970
3,0.0200,0.955357,0.885396
3,0.0100,0.982143,0.930020
3,0.0000,1.000000,1.000000
4,1.0000,0.000000,0.000000
4,0.9900,0.000000,0.000000
4,0.9800,0.014706,0.000000
4,0.9700,0.014706,0.000000
4,0.9600,0.014706,0.000971
4,0.9500,0.029412,0.000971
4,0.9400,0.029412,0.000971
4,0.9300,0.029412,0.001942
4,0.9200,0.029412,0.001942
4,0.9100,0.029412,0.001942
4,0.9000,0.029412,0.001942
4,0.8900,0.029412,0.002913
4,0.8800,0.029412,0.003883
4,0.8700,0.029412,0.004854
4,0.8600,0.029412,0.004854
4,0.8500,0.029412,0.004854
4,0.8400,0.029412,0.004854
4,0.8300,0.029412,0.004854
4,0.8200,0.029412,0.004854
4,0.8100,0.029412,0.004854
4,0.8000,0.029412,0.004854
4,0.7900,0.044118,0.004854
4,0.7800,0.044118,0.004854
4,0.7700,0.044118,0.005825
4,0.7600,0.058824,0.006796
4,0.7500,0.058824,0.006796
4,0.7400,0.058824,0.007767
4,0.7300,0.058824,0.007767
4,0.7200,0.073529,0.009709
4,0.7100,0.073529,0.009709
4,0.7000,0.073529,0.009709
4,0.6900,0.073529,0.009709
4,0.6800,0.088235,0.010680
4,0.6700,0.102941,0.010680
4,0.6600,0.147059,0.010680
4,0.6500,0.147059,0.012621
4,0.6400,0.147059,0.013592
4,0.6300,0.147059,0.014563
4,0.6200,0.161765,0.014563
4,0.6100,0.161765,0.016505
4,0.6000,0.161765,0.016505
4,0.5900,0.161765,0.016505
4,0.5800,0.176471,0.016505
4,0.5700,0.191176,0.018447
4,0.5600,0.205882,0.020388
4,0.5500,0.235294,0.020388
4,0.5400,0.235294,0.020388
4,0.5300,0.235294,0.022330
4,0.5200,0.250000,0.022330
4,0.5100,0.250000,0.023301
4,0.5000,0.250000,0.023301
4,0.4900,0.250000,0.023301
4,0.4800,0.250000,0.023301
4,0.4700,0.250000,0.024272
4,0.4600,0.250000,0.025243
4,0.4500,0.264706,0.027184
4,0.4400,0.264706,0.029126
4,0.4300,0.264706,0.029126
4,0.4200,0.264706,0.030097
4,0.4100,0.264706,0.031068
4,0.4000,0.279412,0.034951
4,0.3900,0.279412,0.034951
4,0.3800,0.294118,0.035922
4,0.3700,0.308824,0.037864
4,0.3600,0.323529,0.038835
4,0.3500,0.323529,0.041748
4,0.3400,0.338235,0.043689
4,0.3300,0.352941,0.044660
4,0.3200,0.397059,0.044660
4,0.3100,0.397059,0.050485
4,0.3000,0.397059,0.052427
4,0.2900,0.411765,0.054369
4,0.2800,0.411765,0.055340
4,0.2700,0.426471,0.058252
4,0.2600,0.441176,0.064078
4,0.2500,0.455882,0.068932
4,0.2400,0.470588,0.070874
4,0.2300,0.500000,0.080583
4,0.2200,0.500000,0.089320
4,0.2100,0.500000,0.093204
4,0.2000,0.500000,0.101942
4,0.1900,0.500000,0.109709
4,0.1800,0.514706,0.117476
4,0.1700,0.529412,0.126214
4,0.1600,0.544118,0.134951
4,0.1500,0.573529,0.147573
4,0.1400,0.602941,0.165049
4,0.1300,0.602941,0.176699
4,0.1200,0.617647,0.186408
4,0.1100,0.647059,0.207767
4,0.1000,0.647059,0.234951
4,0.0900,0.676471,0.269903
4,0.0800,0.691176,0.292233
4,0.0700,0.735294,0.325243
4,0.0600,0.779412,0.371845
4,0.0500,0.808824,0.414563
4,0.0400,0.823529,0.457282
4,0.0300,0.852941,0.526214
4,0.0200,0.882353,0.612621
4,0.0100,0.926471,0.736893
4,0.0000,1.000000,1.000000
