fold,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
3,44,1.007717,0.8086,1.089423,0.6530,0.3687
3,45,1.009872,0.8118,1.088934,0.6393,0.3510
3,46,0.996421,0.8236,1.097773,0.6575,0.3660
3,47,0.956037,0.8429,1.088129,0.6301,0.3462
3,48,0.951012,0.8411,1.096323,0.6484,0.3625
3,49,0.957883,0.8411,1.110155,0.6256,0.3472
3,50,0.952848,0.8375,1.081017,0.6393,0.3607
3,51,0.942545,0.8421,1.101359,0.6621,0.3911
3,52,0.925157,0.8575,1.096018,0.6530,0.3876
3,53,0.913931,0.8514,1.107219,0.6347,0.3637
3,54,0.909214,0.8546,1.058005,0.6438,0.3784
3,55,0.925312,0.8561,1.084206,0.6530,0.3956
3,56,0.926598,0.8525,1.128778,0.6393,0.3911
3,57,0.920153,0.8543,1.110730,0.6347,0.3613
4,1,4.617017,0.2661,1.427269,0.4174,0.2811
4,2,2.572311,0.3218,1.302349,0.5321,0.2947
4,3,2.226314,0.3793,1.212646,0.6101,0.3231
4,4,2.132935,0.4154,1.134808,0.6193,0.3054
4,5,2.022475,0.4479,1.133146,0.6055,0.3122
4,6,1.911879,0.4918,1.136831,0.6101,0.3380
4,7,1.859566,0.5121,1.109607,0.5963,0.3625
4,8,1.816101,0.5229,1.125370,0.5734,0.3595
4,9,1.727565,0.5621,1.124104,0.5917,0.3697
4,10,1.693359,0.5786,1.080083,0.6101,0.3820
4,11,1.677566,0.5800,1.070716,0.6468,0.3965
4,12,1.623359,0.6143,1.093011,0.6376,0.3952
4,13,1.549920,0.6354,1.083445,0.6147,0.3679
4,14,1.519199,0.6489,1.102162,0.6376,0.3710
4,15,1.472942,0.6596,1.115532,0.6101,0.3514
4,16,1.451688,0.6675,1.130030,0.6284,0.3438
4,17,1.410394,0.6864,1.147219,0.6101,0.3376
4,18,1.379221,0.7029,1.138805,0.5917,0.3358
4,19,1.357440,0.7014,1.138823,0.6193,0.3479
4,20,1.317431,0.7154,1.168450,0.6009,0.3478
4,21,1.264731,0.7336,1.155518,0.6284,0.3516
4,22,1.252035,0.7454,1.187669,0.6330,0.3618
4,23,1.225696,0.7589,1.180360,0.6239,0.3500
4,24,1.210954,0.7518,1.247498,0.5826,0.3194
4,25,1.174869,0.7682,1.218323,0.6147,0.3424
4,26,1.176983,0.7589,1.198231,0.5963,0.3080
4,27,1.144688,0.7796,1.268740,0.5826,0.3400
4,28,1.129640,0.7796,1.235820,0.5780,0.3280
4,29,1.113755,0.7896,1.246156,0.6101,0.3459
4,30,1.085505,0.7918,1.225197,0.6284,0.3575
