fold,vowel,network,feature_idx,mu,lambda,gc,gct,selected
0,0,expert,70,0.011602,0.901024,-0.889422,-0.087374,1
0,0,expert,71,0.058793,0.578091,-0.519297,-0.363116,1
0,0,expert,72,0.039303,0.861938,-0.822636,-0.098759,1
0,0,expert,73,0.007073,0.967545,-0.960472,-0.025381,1
0,0,expert,74,0.011482,0.957163,-0.945681,-0.031354,1
0,0,expert,75,0.011665,0.950907,-0.939242,-0.037427,1
0,0,expert,76,0.025607,0.948981,-0.923373,-0.025412,1
0,0,expert,77,0.058793,0.578091,-0.519297,-0.363116,1
0,0,expert,78,0.039302,0.861914,-0.822612,-0.098783,1
0,0,expert,79,0.007073,0.967546,-0.960472,-0.025381,1
0,0,expert,80,0.011482,0.957164,-0.945682,-0.031354,1
0,0,expert,81,0.011661,0.950907,-0.939245,-0.037432,1
0,0,expert,82,0.025706,0.949427,-0.923721,-0.024867,1
0,0,expert,83,0.029604,0.818116,-0.788512,-0.152280,1
0,0,expert,84,0.127177,0.893190,-0.766012,0.020367,1
0,1,master,0,0.070610,0.789644,-0.719034,-0.139746,1
0,1,master,1,0.070118,0.787837,-0.717719,-0.142045,1
0,1,master,2,0.068459,0.773861,-0.705402,-0.157680,1
0,1,master,3,0.042720,0.807300,-0.764581,-0.149980,1
0,1,master,4,0.043754,0.800358,-0.756603,-0.155888,1
0,1,master,5,0.038677,0.811161,-0.772483,-0.150162,1
0,1,master,6,0.031260,0.843981,-0.812721,-0.124758,1
0,1,master,7,0.002630,0.985724,-0.983094,-0.011647,1
0,1,master,8,0.061387,0.910031,-0.848645,-0.028582,1
0,1,master,9,0.001437,0.903068,-0.901632,-0.095495,1
0,1,master,10,0.004169,0.996192,-0.992023,0.000360,1
0,1,master,11,0.014554,0.876330,-0.861776,-0.109116,1
0,1,master,12,0.003538,0.963524,-0.959987,-0.032938,1
0,1,master,13,0.009300,0.972461,-0.963161,-0.018239,1
0,1,master,14,0.020241,0.985882,-0.965641,0.006123,1
0,1,master,15,0.039391,0.961677,-0.922285,0.001068,1
0,1,master,16,0.000000,0.947620,-0.947620,-0.052380,1
0,1,master,17,0.003276,0.973833,-0.970557,-0.022891,1
0,1,master,18,0.002692,0.992998,-0.990306,-0.004310,1
0,1,master,19,0.000524,0.998011,-0.997486,-0.001465,1
0,1,master,20,0.001388,0.990084,-0.988696,-0.008527,1
0,1,master,21,0.022783,0.985882,-0.963099,0.008665,1
0,1,master,22,0.002051,0.988999,-0.986948,-0.008950,1
0,1,master,23,0.008576,0.948500,-0.939924,-0.042924,1
0,1,master,24,0.000673,0.963449,-0.962776,-0.035878,1
0,1,master,25,0.046122,0.944713,-0.898591,-0.009165,1
0,1,master,26,0.001139,0.974539,-0.973400,-0.024323,1
0,1,master,27,0.008579,0.976818,-0.968239,-0.014603,1
0,1,master,28,0.039653,0.981418,-0.941765,0.021071,1
0,1,master,29,0.010950,0.990338,-0.979388,0.001288,1
0,1,master,30,0.000020,0.995115,-0.995095,-0.004865,1
0,1,master,31,0.000591,0.990147,-0.989556,-0.009262,1
0,1,master,32,0.035817,0.814567,-0.778750,-0.149617,1
0,1,master,33,0.043732,0.811611,-0.767878,-0.144657,1
0,1,master,34,0.052606,0.906656,-0.854050,-0.040738,1
0,1,master,35,0.063139,0.919488,-0.856349,-0.017373,1
0,1,master,36,0.060373,0.932570,-0.872197,-0.007057,1
0,1,master,37,0.057861,0.928916,-0.871055,-0.013223,1
0,1,master,38,0.046366,0.947434,-0.901068,-0.006200,1
0,1,master,39,0.052617,0.955163,-0.902546,0.007781,1
0,1,master,40,0.040752,0.957386,-0.916634,-0.001862,1
0,1,master,41,0.055332,0.941681,-0.886349,-0.002987,1
0,1,master,42,0.044224,0.951650,-0.907427,-0.004126,1
0,1,master,43,0.039460,0.939842,-0.900382,-0.020698,1
0,1,master,44,0.041586,0.931212,-0.889626,-0.027201,1
0,1,master,45,0.037936,0.820230,-0.782294,-0.141834,1
0,1,master,46,0.040358,0.831840,-0.791482,-0.127802,1
0,1,master,47,0.054771,0.913932,-0.859160,-0.031297,1
0,1,master,48,0.056825,0.916177,-0.859352,-0.026999,1
0,1,master,49,0.056616,0.935889,-0.879273,-0.007495,1
0,1,master,50,0.058757,0.941648,-0.882891,0.000405,1
